ID,1,2,3,4,5,Average,Standard Deviation
1,854,225,220,227,222,349.60,252.21
2,243,240,241,247,282,250.60,90.88
3,290,338,324,341,283,315.20,24.22
4,348,335,342,330,331,337.20,6.85
5,557,445,472,448,522,488.80,43.86
